ID,Event Name,Category,Sub-Category,Hook Line,Location,Address,Longitude and Latitude,Town,Distance (mi),Schedule,Time,Recurrence,Season,Est. Cost,Effort,Target Audience,User Tips,Verification Method,Verification Difficulty,XP Value,Badge Eligibility,Crew Formation,Is Anchor,Is Hidden Gem,Priority (1-5),Source,Audit_Confidence
28,Red Sandstone Trail,Outdoor,Forest Trail,"3.5mi along Raquette River, historic quarry sites, Potsdam Sandstone history",Raquette River,"Mill St, Hannawa Falls, NY 13647",,Hannawa Falls,5,Daily,10:00am - 3:00pm,One-time,Year-round,Free,High,"Trail hikers, nature walkers",The red rock formations are unique to this area. Best in fall when leaves contrast the stone. Bring bug spray in summer.,North Country Now,Easy,200,"Challenger, Explorer",Medium,TRUE,FALSE,4,Events_Master,HIGH
29,Stone Valley Trails,Outdoor,Forest Trail,"10mi+ trails, waterfall gorges, mountain biking. Kayak demos at Colton Falls.",Stone Valley Recreation,"NY-56, Colton, NY 13625",,Colton,12,Daily,10:00am - 2:00pm,One-time,Year-round,Free,High,"Solo hikers, trail runners, nature lovers",Multiple loops let you customize distance. The back trails are quieter. Cell service is spotty—download maps beforehand.,ADK Laurentian,Easy,200,"Challenger, Explorer",Medium,TRUE,FALSE,4,Events_Master,HIGH
30,Indian Creek Nature Center,Outdoor,Nature Walk,"Boardwalk, bird watching tower, Audubon IBA site. Great for beginners.",Upper & Lower Lakes WMA,"6034 CR 14, Ogdensburg, NY 13669",,Canton/Rensselaer Falls,12,Daily,Dawn to dusk,One-time,Year-round,Free,High,"Families, casual walkers, birders",Great for birding—bring binoculars. The boardwalk section is accessible. Nature center has maps and restrooms.,Visit STLC,Easy,200,"Challenger, Explorer",Medium,TRUE,FALSE,4,Events_Master,HIGH
31,Postwood Park - Browns Bridge Trail,Outdoor,River Trail,"5.7mi easy trail, public beach, picnic area. Summer swimming.",Postwood Park,"NY-56, Colton, NY 13625",,Hannawa Falls,5,Daily,9:00am - 3:00pm,One-time,Year-round,Free,High,"Dog walkers, joggers, casual hikers",The swimming hole past the bridge is the real destination. Rope swing is on the left bank. Locals only spot.,Visit STLC,Easy,200,"Challenger, Explorer",Medium,TRUE,FALSE,4,Events_Master,HIGH
32,SUNY Canton Cross Country Trail,Outdoor,Campus Trail,"Flat path along Grasse River, trillium in spring, XC skiing winter",SUNY Canton Campus,"Riverside Dr, Canton, NY 13617",,Canton,10,Daily,9:00am - 3:00pm,One-time,Year-round,Free,High,"Students, runners, cross-country skiers",Groomed for XC skiing in winter. Flat and fast for running. Campus parking requires permit on weekdays.,Nature Up North,Easy,200,"Challenger, Explorer",Medium,TRUE,FALSE,4,Events_Master,HIGH
33,Crane School Concert,Anchor,Classical Performance,Witnessing world-class artistry in a rural setting.,"Hosmer Hall, SUNY Potsdam","44 Pierrepont Ave, Potsdam, NY 13676",,Potsdam Area,0,Concert season,2 hours,Seasonal,Year-round,$,Medium,"Classical music lovers, culture seekers",Free with student ID. The talent is professional-grade. Dress up a little.,,Medium,200,Pathfinder,Medium,TRUE,FALSE,4,More_Events,MEDIUM
34,Raquette River Paddle,Anchor,River Paddling,Navigating the town's lifeblood requires physical rhythm.,Postwood to Norwood Lake,"Ives Park Boat Launch, Main St, Potsdam, NY 13676",,Potsdam Area,0,Summer/Early Fall,3-5 hours,Seasonal,Summer,$,Medium,"Paddlers, nature lovers, patient types",The flat water stretch is beginner-friendly. Bring snacks. The river reveals itself slowly.,,Medium,200,Pathfinder,Medium,TRUE,FALSE,4,More_Events,MEDIUM
35,The Wild Center Walk,Anchor,Nature Center,"Gaining a literal ""bird's eye view"" of the ecosystem.","Tupper Lake, NY","45 Museum Dr, Tupper Lake, NY 12986",,Potsdam Area,45,Year-round,2-4 hours,Seasonal,Year-round,$,Medium,"Families, nature enthusiasts, curious minds",The Wild Walk canopy trail is the highlight. The otters have a schedule—ask. Budget 3 hours minimum.,,Medium,200,Pathfinder,Medium,TRUE,FALSE,4,More_Events,MEDIUM
36,Winter Solstice Fire,Anchor,Seasonal Celebration,Marking time through an ancient elemental ritual.,Higley Flow State Park,"442 Cold Brook Dr, Colton, NY 13625",,Colton,15,Dec 21st,3-4 hours,Seasonal,Year-round,$,Medium,"Community seekers, ritual lovers","The longest night, the biggest fire. The light is returning. Rituals matter.",,Medium,200,Pathfinder,Medium,TRUE,FALSE,4,More_Events,MEDIUM
37,Parishville Field Day,Anchor,Town Festival,"Participation in a deep-rooted, pre-digital tradition.","Parishville, NY","Main St, Parishville, NY 13672",,Potsdam Area,12,Annually (Summer),10:00am - 6:00pm,Seasonal,Summer,$,Low,"Families, small-town culture lovers","Small town, big heart. The games are silly, the hot dogs are perfect. Everyone's a local for a day.",,Medium,150,Pathfinder,Medium,TRUE,FALSE,4,More_Events,MEDIUM
38,Spaghetti Night at Madrid Hotel,Nightlife,Dinner Special,All-you-can-eat spaghetti & meatballs $5.99,Madrid Hotel,"1896 NY-345, Madrid, NY 13660",,Madrid,12,Wednesday,5:00pm - 9:00pm,Weekly,Year-round,$,Low,"Budget eaters, families, locals",All-you-can-eat for cheap. Bring cash. The garlic bread is the secret star.,Yellow Pages,Easy,100,Participant,Medium,FALSE,FALSE,4,Events_Master,HIGH
39,Olde DeKalb Hotel Live Music,Nightlife,Live Music Venue,"Local bands, food, cold beer",Olde DeKalb Hotel,"4348 US-11, Potsdam, NY 13676",,DeKalb Junction,15,Varies,8:00pm - 12:00am,One-time,Year-round,$,Low,"Live music seekers, rural adventurers",Worth the drive for the right act. Check their Facebook for schedule. The building itself is historic.,North Country Now,Easy,100,Participant,Medium,FALSE,FALSE,4,Events_Master,HIGH
40,Catamount Forest,Winter Activities,Cross-Country Skiing,"Private forest open to public. XC, snowshoe, snowmobile trails.",Catamount Forest,"Canton, Canton, NY 13617",,Canton,10,Daily,10:00am - 4:00pm,One-time,Year-round,Free,Medium,"Nordic skiers, winter trail lovers",More challenging terrain for experienced skiers. Trails connect to state land for longer routes. No facilities—bring everything.,Adirondack.net,Easy,100,Explorer,Medium,FALSE,FALSE,4,Events_Master,HIGH
41,Snowmobiling - 700mi Trail System,Winter Activities,Snowmobiling,"700+ miles groomed trails, warming huts, trailside restaurants",Madrid Trailhead,"NY-345, Madrid, NY 13660",,Madrid,10,Daily,Daylight hours,One-time,Year-round,$$,Medium,"Snowmobilers, winter thrill seekers",Trail passes required—buy online. Gas stations in Madrid and Tupper Lake. The C7 corridor is the main artery.,STLCtrails.com,Easy,100,Explorer,Medium,FALSE,FALSE,4,Events_Master,HIGH
42,Snow Bowl State Forest Sledding,Winter Activities,Sledding,"Former ski area, now state managed. Sledding, hiking, snowmobile.",Snow Bowl SF,"South Colton, NY 13687",,Colton,20,Daily,10:00am - 4:00pm,One-time,Year-round,Free,Medium,"Sledders, families, kids",The big hill gets packed on weekends. Bring your own sled—nothing rental nearby. Hot chocolate at the car is tradition.,Adirondack.net,Easy,100,Explorer,Medium,FALSE,FALSE,4,Events_Master,HIGH
43,Ice Skating - Canton Rink,Winter Activities,Ice Skating,"Public skate times, rental available",Canton Ice Rink,"Canton, Canton, NY 13617",,Canton,10,Varies,10:00am - 4:00pm,One-time,Year-round,$,Medium,"Skaters, families, date night seekers",Free skating sessions vary—check the schedule. Skate sharpening available. The hot chocolate machine is reliable.,Visit STLC,Easy,100,Explorer,Medium,FALSE,FALSE,4,Events_Master,HIGH
44,Massena Arena Free Skating,Winter Activities,Ice Skating,"Free public skating sessions, $3 rentals",Massena Arena,"71 Maple Ave, Massena, NY 13662",,Massena,25,Varies,10:00am - 4:00pm,Seasonal,Year-round,Free,Medium,"Ice skaters, families, casual athletes","Larger ice surface, smoother cuts. Friday DJ nights are fun. Concessions available.",North Country Now,Easy,100,Explorer,Medium,FALSE,FALSE,4,Events_Master,HIGH
45,SLU Hockey Games,Sports & Recreation,College Hockey,"D1 hockey, rivalry games vs Clarkson",Appleton Arena,"23 Romoda Dr, Canton, NY 13617",,Canton,10,Fall/Winter,7:00pm - 10:00pm,One-time,Winter,$$,Medium,"Students, hockey fans, locals",More accessible tickets. Good sightlines from everywhere. The campus walk after is nice.,SLU,Easy,100,Participant,Medium,FALSE,FALSE,4,Events_Master,HIGH
46,Clarkson Theatre Company Shows,Arts & Culture,Student Theater,"Musical in October (family weekend), One Act Festival Jan/Feb",Clarkson Campus,"Student Center, Potsdam, NY 13676",,Potsdam,0,Fall/Spring,7:30pm - 9:30pm,One-time,Spring,$,Medium,"Theater lovers, student supporters",Student-produced and directed. Tickets at the door. The experimental stuff is often the best.,Wikipedia,Easy,100,Culture Vulture,Medium,FALSE,FALSE,4,Events_Master,HIGH
47,SUNY Potsdam Performances,Arts & Culture,Campus Performance,"Crane School of Music performances, plays","Hosmer Hall, SUNY Potsdam","44 Pierrepont Ave, Potsdam, NY 13676",,Potsdam,0,Ongoing,2-3 hours,One-time,Year-round,$,Medium,"Performing arts fans, students, families",The Crane School of Music is legit. Many events are free. The acoustics are excellent.,SUNY Potsdam,Easy,100,Culture Vulture,Medium,FALSE,FALSE,4,Events_Master,HIGH
48,Potsdam Public Library Events,Arts & Culture,Library Program,"Concerts, talks, community events. Holiday brass concerts.",Potsdam Library,"2 Park St STE1, Potsdam, NY 13676",,Potsdam,0,Varies,Check library calendar,Ongoing,Year-round,Free,Medium,"Readers, families, community learners","Check the monthly calendar. Kids programs, adult speakers, everything. Your library card is gold.",North Country Now,Easy,100,Culture Vulture,Medium,FALSE,FALSE,4,Events_Master,HIGH
49,Sandstoner Park Beach,Summer Activities,Beach Day,"Local swimming beach, sandy shore",Sandstoner Park,"43 Pine St, Potsdam, NY 13676",,Potsdam,2,Daily,11:00am - 6:00pm,One-time,Year-round,Free,Medium,"Beach goers, families, swimmers","Hidden gem, less crowded than Norwood. Real sand, clean water. Pack out what you pack in.",Clarkson,Easy,100,Participant,Medium,FALSE,FALSE,4,Events_Master,HIGH
50,Clarkson Canoe Launch,Summer Activities,Paddling Access,University canoe launch on Raquette River,Raquette River,"8 Clarkson Ave, Potsdam, NY 13699",,Potsdam,0,Daily,Dawn to dusk,One-time,Year-round,Free,Medium,"Paddlers, river explorers","Free launch, no permit needed. The upstream paddle is harder. Current varies seasonally.",Clarkson,Easy,100,Participant,Medium,FALSE,FALSE,4,Events_Master,HIGH
52,Holly Jolly Canton,Events,Holiday Festival,"Holiday shopping, community celebration",Downtown Canton,"Village Green, Canton, NY 13617",,Canton,10,Nov-Dec,5:00pm - 9:00pm,One-time,Year-round,Free,Medium,"Families, holiday spirit seekers","Hot chocolate, carolers, tree lighting. Bundle up. Small town Christmas is real.",Visit STLC,Easy,100,Participant,Medium,FALSE,FALSE,4,Events_Master,HIGH
53,Local Living Festival,Events,Community Festival,"Sustainability, local food, community fair",Village Green,"Market St, Potsdam, NY 13676",,Canton,10,September,10:00am - 8:00pm,One-time,Fall,Free,Medium,"Community celebrators, local supporters","Vendors, music, local pride. The food booths have gems. Supporting local is the point.",Clarkson ISE,Easy,100,Participant,Medium,FALSE,FALSE,4,Events_Master,HIGH
54,Rusty Nail,Nightlife,Dive Bar,Classic college bar scene,Rusty Nail,"Market St, Potsdam, NY 13676",,Potsdam,0,Daily,4:00pm - 12:00am,Ongoing,Year-round,$$,Low,"Dive bar lovers, locals",True dive bar. Cash only. The regulars are characters. Don't expect craft cocktails.,Yelp,Easy,50,Participant,Medium,FALSE,FALSE,4,Events_Master,HIGH
55,McDuffs Pub,Nightlife,Pub,Irish pub vibes,McDuffs Pub,"Market St, Potsdam, NY 13676",,Potsdam,0,Daily,4:00pm - 12:00am,Ongoing,Year-round,$$,Low,"Pub crowd, students, young professionals",Best pub atmosphere in town. Trivia is competitive. The fish and chips are legit.,Yelp,Easy,50,Participant,Medium,FALSE,FALSE,4,Events_Master,HIGH
56,Cafe 56 Breakfast Specials,Food & Drink,Diner,"Homestyle breakfast, huge portions, poutine. Hidden gem.","Cafe 56, Norwood","56 N Main St, Norwood, NY 13668",,Norwood,6,Daily,6:00am - 2:00pm,Ongoing,Year-round,$,Low,"Breakfast lovers, diner fans","Classic diner vibes. The pancakes are huge. Cash preferred, card accepted.",Yelp Reviews,Easy,50,Participant,Medium,FALSE,FALSE,4,Events_Master,HIGH
57,Origin Coffee,Food & Drink,Coffee Shop,"Specialty coffee, student hangout",Origin Coffee,"Market St, Potsdam, NY 13676",,Potsdam,0,Daily,7:00am - 6:00pm,Ongoing,Year-round,$,Low,"Coffee lovers, study crowd","Quieter than Jernabi, great for focus work. The cold brew is smooth. Pastries are local-baked.",Yelp,Easy,50,Participant,Medium,FALSE,FALSE,4,Events_Master,HIGH
58,3 Bears Gluten Free Bakery,Food & Drink,Bakery,"Full GF menu, cafe seating",3 Bears,"Market St, Potsdam, NY 13676",,Potsdam,0,Daily,7:00am - 3:00pm,Ongoing,Year-round,$$,Low,"Gluten-free eaters, bakery lovers",Everything is GF but you can't tell. The cinnamon rolls go fast. Small space—takeout recommended.,Visit STLC,Easy,50,Participant,Medium,FALSE,FALSE,4,Events_Master,HIGH
59,Sergis Italian,Food & Drink,Italian,"Local favorite, good pizza. Canadians drive across border for it.",Sergis,"31 Main St, Potsdam, NY 13676",,Canton,10,Daily,11:00am - 9:00pm,Ongoing,Year-round,$$,Low,"Italian food lovers, families",Family portions are massive. The chicken parm is legendary. Bring an appetite.,Visit STLC,Easy,50,Participant,Medium,FALSE,FALSE,4,Events_Master,HIGH
60,Maxfields,Food & Drink,American Grill,Local staple restaurant,Maxfields,"Market St, Potsdam, NY 13676",,Potsdam,0,Daily,11:00am - 10:00pm,Ongoing,Year-round,$$,Low,"Casual diners, trivia players, families",Solid American comfort food. Trivia nights are fun. Good for families.,Menu Guide,Easy,50,Participant,Medium,FALSE,FALSE,4,Events_Master,HIGH
61,Cactus Grill & Cantina,Food & Drink,Mexican,"Mexican food, popular with students",Cactus Grill,"Market St, Potsdam, NY 13676",,Potsdam,0,Daily,11:00am - 9:00pm,Ongoing,Year-round,$$,Low,"Mexican food lovers, margarita fans",Best Mexican in the area. Margaritas are strong. Gets busy on weekends.,Menu Guide,Easy,50,Participant,Medium,FALSE,FALSE,4,Events_Master,HIGH
62,Farmers Markets,Food & Drink,Market Day,"Local produce, artisan goods. Summer months.",Potsdam Farmers Market,"Civic Center, Potsdam, NY 13676",,Potsdam,0,Seasonal,9:00am - 1:00pm,Weekly,Year-round,Free,Low,"Foodies, families, community lovers",Get there early for the best selection. Bring cash and reusable bags. Talk to the farmers—they love it.,Visit STLC,Easy,50,Participant,Medium,FALSE,FALSE,4,Events_Master,HIGH
63,Intramural Sports,Ritual,Rec League,Embodied play replaces passive fitness.,Clarkson University Gym,"8 Clarkson Ave, Potsdam, NY 13699",,Potsdam,0,Seasonal,1-2 hours,Seasonal,Year-round,$,High,"Casual athletes, team sport lovers","Sign up early—teams fill fast. Refs are students, be patient. It's supposed to be fun.",Roster participation,Easy,200,"Challenger, Ritualist",Medium,TRUE,FALSE,3,Early_Database,HIGH
